Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
25,process_0,0,7,7
25,process_1,3,6,3
25,process_2,6,10,4
25,process_3,9,17,8
25,process_4,12,19,7
25,process_5,15,22,7
25,process_6,18,25,7
25,process_7,21,24,3
25,process_8,24,29,5
25,process_9,27,33,6
25,process_10,30,33,3
25,process_11,33,35,2
25,process_12,36,44,8
25,process_13,39,45,6
25,process_14,42,48,6
25,process_15,45,46,1
25,process_16,48,55,7
25,process_17,51,60,9
25,process_18,54,60,6
25,process_19,57,58,1
25,process_20,60,67,7
25,process_21,63,72,9
25,process_22,66,69,3
25,process_23,69,76,7
25,process_24,72,74,2
