Cantidad de Procesos,Nombre,Hora de Inicio,Hora de Fin,Tiempo Total
50,process_0,0,9,9
50,process_1,1,10,9
50,process_2,2,11,9
50,process_3,3,6,3
50,process_4,4,12,8
50,process_5,5,6,1
50,process_6,6,9,3
50,process_7,7,8,1
50,process_8,8,12,4
50,process_9,9,13,4
50,process_10,10,15,5
50,process_11,11,16,5
50,process_12,12,19,7
50,process_13,13,20,7
50,process_14,14,16,2
50,process_15,15,24,9
50,process_16,16,17,1
50,process_17,17,18,1
50,process_18,18,24,6
50,process_19,19,25,6
50,process_20,20,29,9
50,process_21,21,29,8
50,process_22,22,27,5
50,process_23,23,27,4
50,process_24,24,31,7
50,process_25,25,30,5
50,process_26,26,34,8
50,process_27,27,32,5
50,process_28,28,32,4
50,process_29,29,35,6
50,process_30,30,33,3
50,process_31,31,37,6
50,process_32,32,35,3
50,process_33,33,39,6
50,process_34,34,37,3
50,process_35,35,43,8
50,process_36,36,45,9
50,process_37,37,40,3
50,process_38,38,43,5
50,process_39,39,48,9
50,process_40,40,48,8
50,process_41,41,46,5
50,process_42,42,44,2
50,process_43,43,45,2
50,process_44,44,48,4
50,process_45,45,51,6
50,process_46,46,49,3
50,process_47,47,54,7
50,process_48,48,51,3
50,process_49,49,50,1
